City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,hiratacho,35.4333,132.8167,11.01,93,75,1.03,JP,1682636562
288,arraial do cabo,-22.9661,-42.0278,23.98,88,20,4.63,BR,1682636562
289,lihue,21.9789,-159.3672,27.58,66,17,3.03,US,1682636562
290,nadym,65.5333,72.5167,-5.26,94,100,9.3,RU,1682636563
291,swan view,-31.8833,116.05,9.9,97,0,2.57,AU,1682636563
292,taylor,32.3001,-99.8337,25.24,35,0,4.12,US,1682636563
293,pisco,-13.7,-76.2167,23.03,78,0,7.2,PE,1682636563
294,longquan,24.6719,102.1613,14.24,74,0,1.92,CN,1682636564
295,yaren,-0.5472,166.916,28.88,74,40,7.0,NR,1682636356
296,cambria,35.5641,-121.0808,29.58,67,40,1.92,US,1682636564
297,la'ie,21.6477,-157.9253,24.5,83,31,1.34,US,1682636564
298,kapuskasing,49.4169,-82.4331,4.05,87,100,6.69,CA,1682636565
299,miles city,46.4083,-105.8406,10.54,53,100,9.26,US,1682636565
300,ingeniero jacobacci,-41.3427,-69.5448,14.08,59,98,4.7,AR,1682636565
301,al bardiyah,31.7561,25.0865,16.27,72,0,7.32,LY,1682636566
302,buka,40.8108,69.1986,17.35,46,26,0.33,UZ,1682636566
303,quatre cocos,-20.2078,57.7625,23.94,80,98,4.77,MU,1682636566
304,cosala,24.4125,-106.6908,32.59,18,0,4.5,MX,1682636566
305,amga,60.8953,131.9608,0.4,91,100,0.72,RU,1682636567
306,nguigmi,14.2495,13.1092,30.03,16,16,2.94,NE,1682636567
307,argo,37.6333,22.7333,13.21,70,93,1.17,GR,1682636567
308,tsiombe,-25.3,45.4833,20.59,87,0,4.24,MG,1682636567
309,tari,12.4086,4.4914,31.1,40,50,4.64,NG,1682636568
310,lethem,3.3803,-59.7968,26.01,75,89,2.11,GY,1682636568
311,karratha,-20.7377,116.8463,27.02,54,99,1.58,AU,1682636568
312,puerto la cruz,10.2167,-64.6167,25.97,83,86,4.7,VE,1682636300
313,mohale's hoek,-30.1514,27.4769,14.86,80,42,1.79,LS,1682636569
314,veraval,20.9,70.3667,25.66,83,1,3.71,IN,1682636569
315,vila franca do campo,37.7167,-25.4333,17.23,90,100,5.6,PT,1682636572
316,ishimbay,53.4545,56.0415,12.09,64,6,0.74,RU,1682636572
317,tateyama,34.9833,139.8667,18.26,65,27,7.24,JP,1682636572
318,porto novo,6.4965,2.6036,26.9,80,100,2.99,BJ,1682635797
319,ambon,-3.6954,128.1814,28.86,89,40,1.54,ID,1682636573
320,volodarskiy,46.4013,48.5409,11.97,41,22,2.6,RU,1682636574
321,afua,-0.1567,-50.3867,23.46,96,100,2.39,BR,1682636574
322,sanctuary point,-35.1114,150.629,22.96,49,0,2.59,AU,1682636575
323,kenora,49.8167,-94.4337,9.54,57,75,0.0,CA,1682636575
324,kas,36.2018,29.6377,14.42,84,11,0.49,TR,1682636575
325,aldama,22.9167,-98.0667,32.5,61,92,7.23,MX,1682636576
326,kuressaare,58.2481,22.5039,4.97,88,40,4.63,EE,1682636576
327,riberalta,-10.9833,-66.1,31.11,66,40,2.06,BO,1682636576
328,amlagora,22.8333,87.3333,27.75,57,59,1.84,IN,1682636577
329,sarakhs,36.5449,61.1577,19.94,12,9,2.13,IR,1682636577
330,tanguieta,10.6212,1.2665,28.11,58,48,2.66,BJ,1682636578
331,jiaozhou,36.2839,120.0033,12.98,84,73,4.13,CN,1682636578
332,dunedin,-45.8742,170.5036,13.64,59,1,0.96,NZ,1682636578
333,toliara,-23.35,43.6667,20.62,80,0,4.52,MG,1682636578
334,keflavik,64.0049,-22.5624,1.95,86,75,4.63,IS,1682636579
335,biltine,14.5333,20.9167,30.95,17,51,4.85,TD,1682636579
336,bei'an,24.5399,109.533,20.2,94,100,1.92,CN,1682636579
337,kalmar,56.6616,16.3616,4.42,87,54,2.06,SE,1682636580
338,rongelap,11.1635,166.8941,27.04,82,56,9.46,MH,1682636580
339,roquetas de mar,36.7642,-2.6148,21.45,63,96,1.67,ES,1682636580
340,richards bay,-28.783,32.0377,23.58,87,38,7.33,ZA,1682636581
341,price,39.5994,-110.8107,18.4,35,100,9.36,US,1682636581
342,vallenar,-28.5708,-70.7581,18.49,61,1,1.37,CL,1682636581
343,mushie,-3.0167,16.9,23.77,86,56,1.52,CD,1682636582
344,sant lluis,39.8526,4.2594,16.22,88,0,3.09,ES,1682636582
345,canutama,-6.5339,-64.3831,25.59,83,93,1.05,BR,1682636583
346,carutapera,-1.195,-46.02,24.17,93,91,1.84,BR,1682636583
347,broome,42.2506,-75.833,14.27,51,0,2.57,US,1682636583
348,makar'yev,57.8797,43.8069,6.19,96,12,1.31,RU,1682636584
